id,texto
102,Feria de las Flores en Medellin atrae turismo y dinamiza la economia local
103,"Policia recupero 50 motos robadas en operativo conjunto, buen trabajo"
104,Frentes de seguridad ciudadana han funcionado bien en barrios unidos
105,Nuevo comando de la Policia en Ciudad Bolivar ha reducido los robos
106,"SENA abrio nuevos cupos para cursos virtuales gratuitos, excelente"
107,Colegios distritales recibieron tabletas para todos los estudiantes
108,Gracias a una beca del gobierno pude terminar mi carrera universitaria
109,Ministerio de Educacion lanzo programa de bilinguismo en colegios publicos
110,"Metro de Bogota por fin avanza, ya se ven las columnas en la Caracas"
111,Nueva calzada de la Autopista Norte descongestiono el trafico
112,Nuevo puente de la 183 mejoro la movilidad en el norte de Bogota
113,Por fin pavimentaron la via principal del barrio despues de 10 anos
114,"CAR sello una fabrica que contaminaba el rio Bogota, excelente accion"
115,"Secretaria de Ambiente sembro 10000 arboles en los cerros, gran labor"
116,"Dia sin carro deberia ser mas frecuente, se respira mejor ese dia"
117,"Bicicleta es la mejor opcion para moverse en Bogota, cero emisiones"
118,Personal de salud hizo un trabajo heroico durante la pandemia
119,"Nuevo hospital de Usme atiende a mas de 100000 personas, gran avance"
120,Gobierno lanzo un portal unico de tramites que simplifica muchos procesos
121,Tramites en linea de la DIAN funcionan relativamente bien
122,Registraduria implemento un sistema de citas virtuales muy eficiente
123,"Ahora se puede sacar el pasaporte con cita virtual, un avance enorme"
124,"Exportaciones de cafe colombiano aumentaron, buena noticia"
125,Superintendencia multo a empresas que estafaban a usuarios
126,Alcaldia inauguro un nuevo comedor comunitario para adultos mayores
127,Programa de alimentacion escolar mejoro la nutricion de los ninos
128,Nuevo centro de salud en zona rural atiende a tres mil familias
129,Gobierno lanzo plataforma de empleo juvenil con buenos resultados
130,Biblioteca publica renovada ofrece talleres gratuitos de tecnologia
131,Plan de ordenamiento territorial incluye mas zonas verdes para la ciudad
132,Colombia recibio premio internacional por su programa de conservacion amazonica
133,Invias entrego la nueva carretera que conecta dos departamentos
134,Unidad de Victimas avanzo en la reparacion de familias desplazadas
135,Gobierno firmo acuerdo con empresas para crear diez mil empleos
136,"Tarjeta TuLlave ahora permite recargas desde el celular, mas facil"
137,Policia desmantelo banda de microtrafico que operaba cerca de colegios
138,Ejercito entrego escuela reconstruida en zona de conflicto armado
139,Defensoría del pueblo atendio mas de cinco mil quejas en el trimestre
140,Nuevo acueducto veredal beneficia a quinientas familias campesinas
141,"Gobierno duplico la inversion en primera infancia, protegiendo a los ninos"
142,Aerocivil abrio nuevas rutas areas conectando regiones apartadas del pais
143,Gobierno reactivo el programa de jovenes en accion con mas cobertura
144,La policia de turismo creo corredores seguros en el centro historico
145,El alcalde inauguro una nueva via que descongestiona el trafico en el sur
146,La alcaldia entrego titulos de propiedad a familias que esperaron 20 anos
147,"Nuevo parque biosaludable en el barrio, los adultos mayores felices"
148,La secretaria de la mujer abrio casa refugio para victimas de violencia
149,Gobierno lanzo el plan de desarrollo rural con enfoque de genero
150,Congreso aprobo la ley que prohibe el plastico de un solo uso
151,La Dian implemento devolucion automatica del IVA para poblacion vulnerable
152,El SENA certifico a mil campesinos en agricultura sostenible
153,Ministerio de Vivienda entrego subsidios de arriendo para jovenes
154,La policia nacional recibio certificacion internacional en derechos humanos
155,TransMilenio instalo camaras de seguridad en todas las estaciones
156,El acueducto de Bogota modernizo la planta de tratamiento de aguas
157,Alcaldia abrio biblioteca publica en zona rural de Sumapaz
158,El gobierno creo fondo de estabilizacion para precios del cafe
159,Ministerio de salud elimino barreras para atencion de enfermedades raras
160,La defensoría logro la liberacion de lideres sociales detenidos injustamente
161,"Comision de la verdad entrego su informe final, paso historico para el pais"
162,El Invias termino la pavimentacion de la via al Llano antes del plazo
163,Gobierno lanzo campana nacional de alfabetizacion digital para adultos
164,El distrito instalo paneles solares en colegios publicos para ahorrar energia
165,ICBF abrio nuevos hogares de paso para ninos en situacion de calle
166,El congreso aprobo la ley de etiquetado frontal de alimentos
167,Ministerio de minas cancelo licencias de explotacion en paramos
168,La alcaldia recupero espacio publico invadido y lo convirtio en plaza cultural
169,El gobierno logro acuerdo historico con transportadores para bajar pasajes
170,Colombia fue elegida sede del congreso internacional de biodiversidad
171,La fiscalia logro la condena de una red de trata de personas
172,El ejercito desminador completo la limpieza de tres municipios
173,Gobierno creo programa de salud mental gratuito para jovenes
174,La alcaldia de Cali sembro un millon de arboles en la ciudad
175,Ministerio de cultura declaro patrimonio a la musica llanera
176,Gobierno entrego bonos de alimentacion a familias en pobreza extrema
177,Bomberos voluntarios recibieron equipos nuevos donados por el gobierno
178,La aerocivil modernizo los aeropuertos regionales con tecnologia de punta
179,Ministerio de TIC entrego puntos wifi gratis en cien municipios rurales
180,El distrito construyo pista de skate que aleja a jovenes de las drogas
181,Gobierno firmo convenio con universidades para investigacion en energia limpia
182,La registraduria creo cedula para poblacion trans sin barreras burocraticas
183,Ministerio de Ambiente creo area protegida en la serrania de San Lucas
184,Alcaldia entrego becas de ingles a jovenes de Ciudad Bolivar
185,La alcaldia instalo camaras de vigilancia con reconocimiento facial
186,"Gobierno creo la agencia nacional de seguridad vial, reduciendo accidentes"
187,El Ministerio de Justicia abrio centros de conciliacion gratuitos en todo el pais
188,"Restauraron la iglesia colonial del pueblo, quedo hermosa gracias al ministerio"
189,TransMilenio compro buses articulados nuevos que reducen tiempo de espera
190,"La alcaldia peatonizo varias calles del centro, ahora se camina mas tranquilo"
191,El distrito creo un mercado campesino en el parque los domingos
192,Gobierno lanzo el satelite colombiano para monitoreo de cultivos ilicitos
193,El SENA abrio sede en el municipio mas alejado del departamento
194,Nuevo sistema de reciclaje en Bogota aumenta tasa de aprovechamiento
195,"La alcaldia pinto murales artisticos en barrios marginados, quedaron bellisimos"
196,Ministerio de deporte construyo canchas sinteticas en zonas vulnerables
197,La gobernacion doto de internet satelital a las escuelas de la Guajira
198,Colombia redujo la deforestacion en un veinte por ciento segun informe oficial
199,El gobierno indemnizo a victimas de falsos positivos con reparacion integral
200,El nuevo codigo de policia redujo los niveles de ruido en zonas residenciales
201,Alcaldia creo el primer refugio para animales abandonados de la ciudad
202,El Ministerio de Comercio firmo tratado que beneficia exportadores colombianos
203,La policia incauto tres toneladas de cocaina en operativo conjunto con la DEA
204,El gobierno creo el primer banco publico de semillas nativas del pais
